GeneSymbol,PSL
E2F8,Nucleolus
E2F8,Cytosol
ESYT2,Cytosol
ESYT2,Plasma membrane
ESYT3,Plasma membrane
MED19,Nucleus
BLTP3B,Cytosol
TMEM223,Mitochondrion
FEZF1,Cytosol
ARHGAP10,Cytosol
ARHGAP10,Plasma membrane
IRGM,Mitochondrion
IRGM,Golgi apparatus
IRGM,Cytosol
FAM170A,Nucleus
ANO9,Endoplasmic reticulum
ANO9,Plasma membrane
SLC22A23,Plasma membrane
ODAM,Nucleus
ODAM,Cytosol
FAM168B,Plasma membrane
PXDNL,Endoplasmic reticulum
PXDNL,Plasma membrane
MEX3A,Nucleus
MEX3A,Cytosol
UBE2QL1,Nucleus
UBE2QL1,Plasma membrane
NDUFAF8,Mitochondrion
IGSF23,Plasma membrane
ELOVL7,Endoplasmic reticulum
CIBAR1,Nucleus
CIBAR1,Mitochondrion
ZBTB7C,Nucleus
MACROD2,Nucleus
MACROD2,Nucleolus
BCLAF3,Mitochondrion
NBAS,Endoplasmic reticulum
TESPA1,Cytosol
FAM234B,Golgi apparatus
CCDC66,Centrosome
CCDC66,Cytosol
TMEM89,Nucleus
TMEM131L,Endoplasmic reticulum
TMEM131L,Plasma membrane
VWA8,Mitochondrion
VWA8,Peroxisome
CPED1,Endoplasmic reticulum
CRPPA,Cytosol
GTPBP10,Nucleolus
WDR91,Cytosol
RAB19,Plasma membrane
PRSS37,Nucleus
MBLAC1,Nucleus
MBLAC1,Cytosol
SH3D21,Plasma membrane
POTEF,Cell cortex
ANKRD34B,Nucleus
PEDS1,Endoplasmic reticulum
CNOT1,Nucleus
CNOT1,Cytosol
TMEM150B,Plasma membrane
CCDC88B,Endoplasmic reticulum
CCDC88B,Golgi apparatus
CCDC88B,Centrosome
CCDC88B,Cytosol
OR6C74,Plasma membrane
USP17L3,Endoplasmic reticulum
USP17L4,Endoplasmic reticulum
FAM83G,Nucleus
FAM83G,Cytosol
OR14I1,Plasma membrane
PALM3,Plasma membrane
SYNDIG1L,Golgi apparatus
RBMY1B,Nucleolus
OR5H15,Plasma membrane
OR6C68,Plasma membrane
TBC1D3B,Plasma membrane
RIMOC1,Cytosol
TMEM8B,Nucleus
TMEM8B,Mitochondrion
TMEM8B,Endoplasmic reticulum
TMEM8B,Plasma membrane
RCCD1,Cytosol
RCCD1,Plasma membrane
RBMY1E,Nucleolus
TBC1D3F,Plasma membrane
OR5K3,Plasma membrane
NUPR2,Nucleus
OR6C6,Plasma membrane
TRABD2B,Plasma membrane
TMEM235,Endoplasmic reticulum
NAP1L6P,Nucleus
TCAF2,Plasma membrane
MFSD2B,Plasma membrane
SDHAF1,Mitochondrion
TLCD2,Plasma membrane
ZSCAN5C,Nucleus
URAD,Peroxisome
OOEP,Nucleus
FRG2C,Nucleus
SMIM9,Plasma membrane
CAPN8,Golgi apparatus
OR5H14,Plasma membrane
CASTOR2,Cytosol
MYMK,Plasma membrane
OR6C70,Plasma membrane
RAP1BL,Cytosol
NPIPB2,Nucleus
METTL15,Mitochondrion
ZSCAN5B,Nucleus
UNCX,Nucleus
CIMIP2C,Nucleus
CD8B2,Plasma membrane
OR6C65,Plasma membrane
ZNF233,Nucleus
LIPT2,Mitochondrion
ZNF98,Nucleus
RASSF10,Centrosome
RASSF10,Cytosol
OR5H1,Plasma membrane
OR6C75,Plasma membrane
OR5B21,Plasma membrane
SMIM23,Plasma membrane
OR6C76,Plasma membrane
FIGNL2,Cell cortex
OR5K4,Plasma membrane
DBX1,Nucleus
SRRM3,Nucleus
DRGX,Nucleus
IFITM5,Cytosol
IFITM5,Plasma membrane
OR2AT4,Plasma membrane
SLC38A8,Cell cortex
USP27X,Nucleus
USP27X,Cytosol
ZNF716,Nucleus
GOLGA8A,Golgi apparatus
GOLGA8A,Cytosol
CFAP96,Centrosome
ARHGAP32,Golgi apparatus
WASHC1,Cytosol
C15ORF62,Mitochondrion
POU2AF3,Nucleus
DDX11L8,Nucleolus
NEURL1B,Cytosol
NEURL1B,Actin cytoskeleton
GOLGA8B,Golgi apparatus
GOLGA8B,Cytosol
FOXI3,Nucleus
ZNF724,Nucleus
USP17L5,Endoplasmic reticulum
ZNF727,Nucleus
HEPACAM2,Golgi apparatus
HEPACAM2,Centrosome
WASH4P,Cytosol
KPNA7,Nucleus
MIF4GD,Nucleolus
MIF4GD,Golgi apparatus
MIF4GD,Cytosol
MYO1G,Plasma membrane
FBXW7-AS1,Plasma membrane
NALF1,Plasma membrane
KLLN,Nucleolus
CENPBD1P,Nucleus
OR11H12,Plasma membrane
HMGB1P1,Nucleus
SMIM1,Plasma membrane
ZBTB42,Nucleus
ZBTB42,Plasma membrane
KDM4E,Nucleus
EPM2A,Nucleus
TMEM233,Plasma membrane
ZNF736,Nucleus
ZNF732,Nucleus
TARM1,Plasma membrane
KCNJ18,Plasma membrane
LOC402624,Nucleus
TBC1D3L,Plasma membrane
TMEM150C,Plasma membrane
MLDHR,Mitochondrion
C0HM83,Nucleus
C0HM83,Mitochondrion
CTBP1-DT,Nucleus
MIR155HG,Nucleus
WASH3P,Cytosol
USP17L15,Endoplasmic reticulum
RASA4B,Cytosol
RASA4B,Plasma membrane
USP17L10,Endoplasmic reticulum
USP17L13,Endoplasmic reticulum
ZFTA,Nucleus
MCRIP1,Nucleus
USP17L12,Endoplasmic reticulum
USP17L11,Endoplasmic reticulum
PRAC2,Nucleus
KLRF2,Plasma membrane
USP17L21,Endoplasmic reticulum
USP17L18,Endoplasmic reticulum
USP17L22,Endoplasmic reticulum
USP17L23,Nucleus
USP17L23,Endoplasmic reticulum
USP17L17,Endoplasmic reticulum
USP17L19,Endoplasmic reticulum
MCIDAS,Nucleolus
MCIDAS,Nucleus
USP17L20,Endoplasmic reticulum
NACA,Nucleus
NDUFC2-KCTD14,Mitochondrion
SLCO1B3-SLCO1B7,Plasma membrane
SUMO1P1,Nucleus
KRTAP4-16,Cytosol
FAM72C,Cytosol
TMEM250,Nucleus
TGFBR3L,Plasma membrane
PANO1,Nucleolus
ERVH48-1,Plasma membrane
DNASE2,Lysosome
AGPS,Mitochondrion
AGPS,Peroxisome
UBXN8,Nucleolus
UBXN8,Endoplasmic reticulum
KIF2A,Nucleolus
KIF2A,Centrosome
SGK1,Mitochondrion
SGK1,Cytosol
SGK1,Plasma membrane
TK2,Mitochondrion
FZD9,Plasma membrane
DDX39A,Nucleus
ACOT7,Mitochondrion
ACOT7,Cytosol
MYO1C,Nucleolus
MYO1C,Plasma membrane
MYO1C,Cell cortex
MYO1F,Cytosol
SNAP23,Plasma membrane
SNAP23,Mitochondrion
HAX1,Mitochondrion
HAX1,Cell cortex
EYA2,Mitochondrion
EYA2,Cytosol
AIP,Plasma membrane
AIP,Cytosol
KCNK1,Plasma membrane
LGALS9,Nucleus
LGALS9,Cytosol
STXBP3,Cytosol
STXBP3,Plasma membrane
AP4M1,Cytosol
ARVCF,Nucleus
HRK,Mitochondrion
AP3B1,Mitochondrion
AP3B1,Golgi apparatus
SULT2B1,Nucleus
SULT2B1,Endoplasmic reticulum
SULT2B1,Cytosol
TLR4,Plasma membrane
APBB1,Nucleus
APBB1,Endoplasmic reticulum
APBB1,Plasma membrane
LGALS8,Cytosol
NDUFS8,Mitochondrion
HAS3,Nucleus
HAS3,Golgi apparatus
HAS3,Plasma membrane
TNFRSF10A,Golgi apparatus
TNFRSF10A,Cytosol
TNFRSF10A,Plasma membrane
NFKBIE,Cytosol
PSMD11,Nucleus
RNF103,Endoplasmic reticulum
MEN1,Nucleus
MEN1,Cytosol
CBX4,Nucleus
SUPT5H,Nucleus
TAF4,Cytosol
GPR31,Plasma membrane
DFFA,Nucleus
DFFA,Cytosol
DFFA,Plasma membrane
RFXAP,Nucleus
HIP1,Golgi apparatus
TULP1,Cytosol
TULP1,Plasma membrane
CLIC1,Nucleus
CLIC1,Mitochondrion
CLIC1,Endoplasmic reticulum
CLIC1,Plasma membrane
WWP2,Nucleus
CDC7,Nucleus
BMAL1,Nucleus
SLC28A1,Cytosol
SLC28A1,Plasma membrane
SULT1C2,Lysosome
FOXE1,Nucleus
QSOX1,Golgi apparatus
DCTN6,Centrosome
WASL,Nucleus
WASL,Cytosol
PDE2A,Plasma membrane
PDE2A,Nucleus
PDE2A,Cytosol
IPO5,Nucleolus
IPO5,Golgi apparatus
IPO5,Cytosol
POLRMT,Mitochondrion
CCRL2,Plasma membrane
SAP18,Cytosol
IGF2BP3,Cytosol
DNM1L,Endoplasmic reticulum
DNM1L,Mitochondrion
DNM1L,Peroxisome
DNM1L,Golgi apparatus
DNM1L,Cytosol
PIK3C2A,Cytosol
PIK3C2A,Plasma membrane
PLK4,Centrosome
PLK4,Cytosol
GFRA2,Plasma membrane
LST1,Cytosol
LST1,Plasma membrane
GOLIM4,Golgi apparatus
TRAF5,Centrosome
TRAF5,Cytosol
SLC17A3,Plasma membrane
BTN3A3,Plasma membrane
BTN3A1,Plasma membrane
NR5A2,Nucleus
NDUFA4,Mitochondrion
PSMD14,Nucleus
ZNF593,Nucleolus
BIN1,Nucleus
BIN1,Cytosol
CLDN5,Plasma membrane
STK25,Golgi apparatus
LAD1,Actin cytoskeleton
KRIT1,Plasma membrane
CHL1,Plasma membrane
PES1,Nucleolus
PES1,Cytosol
CACNA1A,Nucleus
CACNA1A,Plasma membrane
SDCBP,Cytosol
SDCBP,Plasma membrane
PITPNM1,Cytosol
MPHOSPH10,Nucleolus
DDX3X,Nucleus
DDX3X,Centrosome
DDX3X,Cytosol
DDX3X,Plasma membrane
RNASET2,Lysosome
ACKR2,Cytosol
ACKR2,Plasma membrane
PODXL,Nucleolus
PODXL,Plasma membrane
FCN1,Plasma membrane
PEX12,Peroxisome
PIR,Nucleus
PIR,Cytosol
PEX7,Cytosol
PEX7,Peroxisome
NTN3,Golgi apparatus
NFIB,Nucleus
E2F3,Nucleus
PPP6C,Mitochondrion
PPP6C,Cytosol
NME4,Mitochondrion
PIK3C2B,Endoplasmic reticulum
PIK3C2B,Cytosol
PIK3C2B,Plasma membrane
FBP2,Nucleus
FBP2,Cytosol
FBP2,Plasma membrane
UBE2C,Cytosol
UBE2C,Plasma membrane
ACACB,Nucleus
ACACB,Mitochondrion
PDXK,Nucleus
PDXK,Cytosol
SCD,Nucleolus
SCD,Endoplasmic reticulum
SH2B2,Cytosol
SH2B2,Plasma membrane
CLDN4,Plasma membrane
PLPP1,Plasma membrane
PLPP3,Golgi apparatus
BHLHE40,Nucleus
NRG2,Plasma membrane
SOCS7,Nucleus
SOCS7,Cytosol
SOCS7,Plasma membrane
ADGRB1,Plasma membrane
CDK2AP1,Nucleus
CDK2AP1,Cytosol
AQP7,Plasma membrane
AQP7,Cell cortex
PTPRT,Plasma membrane
C2CD2L,Plasma membrane
FCHO1,Cytosol
FCHO1,Plasma membrane
CUX2,Nucleus
TXNDC9,Nucleus
TXNDC9,Centrosome
TXNDC9,Cytosol
COX7A2L,Nucleolus
COX7A2L,Mitochondrion
GAPDHS,Nucleus
HSPB6,Nucleus
HSPB6,Mitochondrion
HSPB6,Cytosol
NDUFAB1,Mitochondrion
DYNC1I1,Nucleus
CIT,Cytosol
COPE,Golgi apparatus
RFXANK,Cytosol
RFXANK,Nucleus
BPY2,Nucleus
CDC42EP2,Cytosol
CDC42EP2,Plasma membrane
CCS,Nucleus
GPR171,Plasma membrane
ZNF195,Nucleus
ENPP3,Plasma membrane
CHD1,Nucleus
GOSR2,Golgi apparatus
GOSR2,Cytosol
TOR1A,Endoplasmic reticulum
TOR1B,Endoplasmic reticulum
STX16,Golgi apparatus
STX16,Cytosol
PRRG2,Plasma membrane
ADAM10,Golgi apparatus
ADAM10,Plasma membrane
ABCD4,Peroxisome
EI24,Endoplasmic reticulum
EI24,Golgi apparatus
EI24,Cytosol
ITGB1BP1,Nucleus
ITGB1BP1,Cytosol
APAF1,Nucleus
CDIPT,Plasma membrane
PDCD5,Nucleus
PRMT5,Nucleus
PRMT5,Golgi apparatus
PRMT5,Cytosol
NHERF1,Nucleus
TERT,Nucleus
TERT,Nucleolus
TERT,Cytosol
TERT,Plasma membrane
HSD17B6,Endoplasmic reticulum
CHEK1,Nucleus
CHEK1,Centrosome
TNFRSF10B,Plasma membrane
ZNF213,Nucleus
TPP1,Lysosome
TPP1,Golgi apparatus
GNB5,Nucleus
GNB5,Cytosol
NDC80,Centrosome
NRP1,Cytosol
NRP1,Plasma membrane
UNC13B,Golgi apparatus
UNC13B,Cytosol
POLR3A,Nucleus
TAAR5,Plasma membrane
PHOX2A,Nucleus
TSPAN4,Plasma membrane
PSMA7,Nucleus
RASGRF2,Endoplasmic reticulum
PHYH,Peroxisome
FFAR1,Plasma membrane
FFAR3,Plasma membrane
AIM2,Mitochondrion
AIM2,Cytosol
BACH1,Nucleus
BACH1,Cytosol
BCKDK,Mitochondrion
IFIT3,Mitochondrion
IFIT3,Cytosol
GEMIN2,Nucleolus
GEMIN2,Cytosol
TM4SF5,Plasma membrane
KLF11,Cytosol
TAX1BP3,Plasma membrane
TAX1BP3,Actin cytoskeleton
GIPC1,Cell cortex
IKBKB,Nucleus
IKBKB,Cytosol
RGS13,Nucleus
RGS13,Cytosol
RGS12,Nucleolus
RGS12,Cytosol
TIMM23,Mitochondrion
HAT1,Mitochondrion
CASK,Nucleolus
TFEC,Cytosol
UQCRQ,Mitochondrion
MYL12B,Cell cortex
HGS,Lysosome
HGS,Cytosol
AURKA,Nucleus
AURKA,Centrosome
AURKA,Cytosol
RAB29,Mitochondrion
RAB29,Golgi apparatus
RAB29,Cytosol
RAB29,Plasma membrane
CLGN,Endoplasmic reticulum
VPS26C,Nucleus
PPP1R12A,Nucleolus
PPP1R12A,Centrosome
PPP1R12A,Cytosol
PPP1R12A,Plasma membrane
PPP1R12A,Actin cytoskeleton
GAK,Golgi apparatus
ZNF263,Nucleus
XPO1,Nucleolus
XPO1,Cytosol
ATP2A1,Mitochondrion
ARHGEF10,Centrosome
ZNF609,Nucleus
ZNF646,Nucleus
TRIM66,Nucleus
PDZD2,Cytosol
PDZD2,Plasma membrane
SPTBN2,Cytosol
SPTBN2,Plasma membrane
SEC16A,Cytosol
AREL1,Cytosol
RIMBP2,Plasma membrane
U2SURP,Nucleus
SETD1A,Nucleus
PER2,Nucleus
PER2,Nucleolus
PER2,Cytosol
SYNJ2,Plasma membrane
ZBTB5,Nucleus
MCF2L,Plasma membrane
NACAD,Nucleus
CEP290,Centrosome
CEP290,Nucleus
CEP290,Cytosol
ARHGEF11,Plasma membrane
PRORP,Mitochondrion
SMAD7,Plasma membrane
SMAD7,Nucleus
SMAD7,Centrosome
SMAD7,Cytosol
CHUK,Cytosol
LSM1,Nucleus
FYB1,Nucleus
NPC1,Endoplasmic reticulum
NPC1,Golgi apparatus
NPC1,Plasma membrane
TBX3,Nucleus
AGPAT2,Endoplasmic reticulum
DEGS1,Mitochondrion
SCAMP2,Golgi apparatus
KPNA5,Cytosol
ARPC1B,Nucleus
BET1,Endoplasmic reticulum
POLR1C,Nucleus
PLSCR1,Nucleus
PLSCR1,Nucleolus
PLSCR1,Golgi apparatus
PLSCR1,Cytosol
PLSCR1,Plasma membrane
TRIM24,Nucleus
TRIM24,Mitochondrion
AXIN1,Nucleus
AXIN1,Nucleolus
AXIN1,Cell cortex
PGRMC2,Endoplasmic reticulum
TBXT,Nucleus
CETN3,Nucleolus
CETN3,Centrosome
CTDSPL,Nucleus
SMAD9,Cytosol
UBD,Nucleus
ZBTB22,Nucleus
WDR46,Nucleolus
GPR182,Plasma membrane
NKRF,Nucleus
NKRF,Nucleolus
GNPAT,Peroxisome
LAMA5,Nucleus
CASC3,Nucleus
NDUFA1,Mitochondrion
VGF,Golgi apparatus
LEPROT,Golgi apparatus
SLC22A2,Plasma membrane
CLIC2,Cytosol
CLIC2,Plasma membrane
ACOX3,Peroxisome
RTL8C,Plasma membrane
RER1,Endoplasmic reticulum
RER1,Golgi apparatus
RER1,Plasma membrane
SURF4,Endoplasmic reticulum
SURF4,Golgi apparatus
SURF4,Cytosol
ATXN7,Nucleus
ATXN7,Nucleolus
ATXN7,Cytosol
SPTLC1,Endoplasmic reticulum
FANCG,Nucleolus
FANCG,Mitochondrion
FANCG,Cytosol
FANCG,Plasma membrane
OGT,Nucleus
OGT,Cytosol
OGT,Plasma membrane
ALOX15B,Nucleus
ALOX15B,Cytosol
ALOX15B,Plasma membrane
PPM1D,Nucleus
PPM1D,Nucleolus
PPM1D,Cytosol
GRM6,Plasma membrane
PMM2,Cytosol
POLR3G,Nucleus
POLR3G,Cytosol
MID1,Golgi apparatus
MID1,Cytosol
HMGB3,Nucleus
TP73,Nucleus
TP73,Golgi apparatus
FOXN1,Nucleus
GPR37,Endoplasmic reticulum
GPR37,Plasma membrane
INPPL1,Golgi apparatus
INPPL1,Cytosol
FANCA,Nucleus
HDAC3,Nucleus
HDAC3,Golgi apparatus
HDAC3,Cytosol
HDAC3,Plasma membrane
NVL,Nucleolus
NVL,Nucleus
BCAT2,Mitochondrion
YY2,Nucleus
BIRC5,Nucleus
BIRC5,Cytosol
TMPRSS2,Plasma membrane
NCAM2,Plasma membrane
GRIN2D,Plasma membrane
STX7,Lysosome
STX7,Plasma membrane
TOX3,Cytosol
TNRC18,Mitochondrion
TNRC18,Cytosol
SLC16A3,Plasma membrane
SLC31A1,Plasma membrane
SLC31A2,Plasma membrane
ABCC3,Plasma membrane
ABCC4,Nucleolus
ABCC4,Golgi apparatus
ABCC4,Plasma membrane
ABCC5,Plasma membrane
POLR1G,Mitochondrion
POLR1G,Cytosol
TLR3,Plasma membrane
P4HA2,Endoplasmic reticulum
P4HA2,Cytosol
PLA2G10,Lysosome
YKT6,Mitochondrion
YKT6,Endoplasmic reticulum
YKT6,Golgi apparatus
YKT6,Cytosol
YKT6,Plasma membrane
INSIG1,Endoplasmic reticulum
NUP42,Nucleus
NUP42,Cytosol
POLR2D,Nucleus
POLR2D,Cytosol
CLOCK,Nucleus
CLOCK,Cytosol
FGF10,Nucleus
FGF10,Plasma membrane
DDX3Y,Cytosol
OGG1,Nucleus
PDPK1,Nucleus
PDPK1,Cytosol
PDPK1,Plasma membrane
PER1,Cytosol
ZSCAN9,Nucleus
RGS5,Cytosol
RNF113A,Nucleus
KDM6A,Nucleus
FFAR2,Plasma membrane
MEFV,Nucleus
MEFV,Cytosol
KCNN4,Cytosol
KCNN4,Plasma membrane
DHX15,Nucleolus
RNMT,Nucleus
ASAP2,Cytosol
ASAP2,Plasma membrane
PLXNB1,Plasma membrane
RRP8,Nucleolus
RRP8,Cytosol
RRP8,Plasma membrane
PJA2,Centrosome
PJA2,Plasma membrane
SIPA1L1,Plasma membrane
SIPA1L1,Actin cytoskeleton
ZBTB24,Nucleus
PRPF4,Nucleus
NDUFS4,Mitochondrion
ARHGAP6,Cytosol
ADAM12,Plasma membrane
PHF1,Centrosome
PHF1,Nucleus
PHF1,Cytosol
MLNR,Cytosol
MLNR,Plasma membrane
SEPTIN4,Mitochondrion
DYNC1LI2,Centrosome
PSMD3,Nucleus
HOXC11,Cytosol
RBFOX2,Nucleus
SIAH2,Cytosol
ZNHIT1,Nucleus
ZW10,Nucleus
ZW10,Endoplasmic reticulum
ZW10,Cytosol
PRODH,Mitochondrion
SART1,Nucleus
SART1,Golgi apparatus
SPINT2,Plasma membrane
GPAA1,Mitochondrion
GPAA1,Endoplasmic reticulum
GPAA1,Centrosome
GPAA1,Cytosol
DAPK3,Cytosol
TGFB1I1,Cytosol
ZBTB43,Nucleus
AP5Z1,Nucleus
HSPA12A,Nucleus
CCP110,Centrosome
ARHGEF9,Cytosol
ZSCAN12,Nucleus
CTIF,Cytosol
MTSS1,Actin cytoskeleton
PPIP5K2,Cytosol
MAP3K7,Cytosol
MAP3K7,Nucleus
MAP3K7,Plasma membrane
DHH,Plasma membrane
EEF1E1,Nucleolus
EEF1E1,Cytosol
MSI1,Nucleus
RIPK2,Plasma membrane
RIPK2,Endoplasmic reticulum
RIPK2,Cytosol
RASA4,Plasma membrane
RASA4,Cytosol
WDR62,Nucleus
WDR62,Centrosome
WDR62,Cytosol
HNRNPR,Nucleolus
HNRNPR,Nucleus
HNRNPR,Endoplasmic reticulum
PRPF3,Nucleus
PRPF3,Cytosol
TXNL1,Nucleus
TXNL1,Cytosol
EMC8,Endoplasmic reticulum
EMC8,Golgi apparatus
THAP12,Nucleus
FIBP,Nucleus
CBFA2T2,Nucleus
SUV39H1,Nucleus
SUV39H1,Plasma membrane
SUV39H1,Nucleolus
HTRA2,Nucleus
HTRA2,Mitochondrion
HTRA2,Cytosol
KLF4,Cytosol
OIP5,Nucleus
AKR7A2,Mitochondrion
AKR7A2,Golgi apparatus
AKR7A2,Cytosol
PROM1,Endoplasmic reticulum
PROM1,Plasma membrane
EPB41L2,Plasma membrane
EPB41L2,Cell cortex
TGOLN2,Golgi apparatus
CACNA1G,Plasma membrane
RAD51C,Nucleus
RAD51C,Mitochondrion
RAD51C,Cytosol
LAMTOR5,Lysosome
LAMTOR5,Cytosol
B4GAT1,Golgi apparatus
MED7,Nucleus
ATP8B1,Endoplasmic reticulum
ATP8B1,Golgi apparatus
ATP8B1,Cytosol
ATP8B1,Plasma membrane
FOXO3,Mitochondrion
FOXO3,Nucleus
FOXO3,Cytosol
KCNQ3,Mitochondrion
KCNQ3,Plasma membrane
KCNQ2,Plasma membrane
SMAD6,Nucleus
SMAD6,Golgi apparatus
SMAD6,Cytosol
XRCC3,Nucleus
XRCC3,Mitochondrion
XRCC3,Cytosol
XRCC2,Centrosome
LAT,Plasma membrane
LAT,Golgi apparatus
RNF13,Endoplasmic reticulum
RNF13,Cytosol
AKAP10,Cytosol
AKAP10,Plasma membrane
SYT7,Cytosol
PSTPIP1,Cytosol
PSTPIP1,Plasma membrane
XPOT,Cytosol
SPRY2,Actin cytoskeleton
DNPH1,Nucleus
DCX,Cytosol
SPRY1,Golgi apparatus
SPRY1,Cytosol
HCRTR1,Plasma membrane
HCRTR2,Plasma membrane
TIMM44,Mitochondrion
TRAPPC3,Endoplasmic reticulum
TRAPPC3,Golgi apparatus
TRAPPC3,Cytosol
SNAI2,Nucleus
CHMP2A,Plasma membrane
NCK2,Endoplasmic reticulum
PSCA,Plasma membrane
PLRG1,Nucleus
PRC1,Nucleus
PRC1,Plasma membrane
RGS10,Nucleus
RGS10,Cytosol
ZNF207,Nucleus
ZNF207,Nucleolus
NDUFB5,Mitochondrion
LDB2,Nucleus
LDB2,Nucleolus
LDB2,Plasma membrane
TCF21,Nucleus
GET3,Nucleolus
BUB1,Cytosol
PLPP2,Endoplasmic reticulum
PLPP2,Plasma membrane
SIGLEC6,Cytosol
SIGLEC6,Plasma membrane
ACTN4,Actin cytoskeleton
ACTN4,Nucleus
BUD23,Nucleus
BUD23,Nucleolus
TRIAP1,Mitochondrion
GATC,Mitochondrion
KDELR3,Endoplasmic reticulum
TRAF3IP2,Nucleus
CYTH3,Cytosol
CYTH3,Plasma membrane
CHP2,Nucleus
CHP2,Nucleolus
CHP2,Cytosol
CHP2,Plasma membrane
AP1G1,Golgi apparatus
AP1G1,Cytosol
STX6,Golgi apparatus
STX6,Cytosol
SGTA,Nucleus
SGTA,Cytosol
SLC25A20,Mitochondrion
SLC25A20,Cytosol
NARS1,Cytosol
DYRK3,Nucleus
DYRK3,Cytosol
SPOP,Nucleus
MYO1B,Plasma membrane
SSNA1,Nucleus
